M [M_sun]	stat_err M	sys_err M	R [km]	stat_err R	sys_err R	stability
5.584420e+00	1.304361e-01	2.540000e-04	4.103836e+05	1.246532e+04	1.450000e+01	1
5.915970e+00	1.381838e-01	2.690000e-04	4.025087e+05	1.222704e+04	2.170000e+01	1
6.266972e+00	1.463733e-01	2.850000e-04	3.947570e+05	1.199124e+04	1.440000e+01	1
6.638699e+00	1.550312e-01	3.020000e-04	3.871502e+05	1.176316e+04	7.300000e+00	1
7.031936e+00	1.642108e-01	3.190000e-04	3.797101e+05	1.153771e+04	7.300000e+00	1
7.448356e+00	1.739201e-01	3.380000e-04	3.723858e+05	1.131581e+04	1.450000e+01	1
7.889028e+00	1.841993e-01	3.580000e-04	3.652137e+05	1.109944e+04	7.200000e+00	1
8.355183e+00	1.950621e-01	3.780000e-04	3.581792e+05	1.088627e+04	1.450000e+01	1
8.848428e+00	2.065602e-01	4.010000e-04	3.512751e+05	1.067805e+04	7.300000e+00	1
9.370157e+00	2.187249e-01	4.230000e-04	3.445014e+05	1.047415e+04	7.200000e+00	1
9.922099e+00	2.315830e-01	4.480000e-04	3.378509e+05	1.027235e+04	7.300000e+00	1
1.050577e+01	2.451773e-01	4.700000e-04	3.313308e+05	1.007571e+04	7.300000e+00	1
1.112285e+01	2.595500e-01	5.000000e-04	3.249338e+05	9.882618e+03	7.300000e+00	1
1.177515e+01	2.747490e-01	5.300000e-04	3.186528e+05	9.693939e+03	7.300000e+00	1
1.246474e+01	2.908121e-01	5.600000e-04	3.124949e+05	9.508362e+03	7.200000e+00	1
1.319328e+01	3.077734e-01	6.000000e-04	3.064529e+05	9.326622e+03	7.300000e+00	1
1.396299e+01	3.256906e-01	6.200000e-04	3.005196e+05	9.147656e+03	7.200000e+00	1
1.477599e+01	3.446150e-01	6.600000e-04	2.947022e+05	8.972503e+03	7.200000e+00	1
1.563443e+01	3.645988e-01	7.000000e-04	2.889935e+05	8.801172e+03	7.200000e+00	1
1.654055e+01	3.856915e-01	7.300000e-04	2.833934e+05	8.632611e+03	7.200000e+00	1
1.749678e+01	4.079455e-01	7.700000e-04	2.778948e+05	8.466859e+03	7.300000e+00	1
1.850547e+01	4.314243e-01	8.200000e-04	2.724903e+05	8.305636e+03	7.300000e+00	1
1.956924e+01	4.561920e-01	8.600000e-04	2.671945e+05	8.146717e+03	7.300000e+00	1
2.069058e+01	4.822981e-01	9.100000e-04	2.620002e+05	7.991095e+03	7.300000e+00	1
2.187213e+01	5.098148e-01	9.600000e-04	2.568927e+05	7.838368e+03	7.300000e+00	1
2.311663e+01	5.388077e-01	1.010000e-03	2.518867e+05	7.688964e+03	7.200000e+00	1
2.442678e+01	5.693422e-01	1.060000e-03	2.469677e+05	7.541385e+03	7.200000e+00	1
2.580537e+01	6.014942e-01	1.120000e-03	2.421428e+05	7.398254e+03	7.300000e+00	1
2.725521e+01	6.353342e-01	1.170000e-03	2.374048e+05	7.256406e+03	7.200000e+00	1
2.877907e+01	6.709404e-01	1.240000e-03	2.327466e+05	7.118207e+03	7.200000e+00	1
3.037983e+01	7.083838e-01	1.290000e-03	2.281825e+05	6.982334e+03	7.300000e+00	1
3.206027e+01	7.477503e-01	1.360000e-03	2.236908e+05	6.849041e+03	7.300000e+00	1
3.382313e+01	7.891220e-01	1.430000e-03	2.192861e+05	6.718024e+03	7.300000e+00	1
3.567111e+01	8.325844e-01	1.500000e-03	2.149611e+05	6.590407e+03	0.000000e+00	1
3.760685e+01	8.782220e-01	1.560000e-03	2.107085e+05	6.464250e+03	0.000000e+00	1
3.963285e+01	9.261310e-01	1.640000e-03	2.065357e+05	6.341345e+03	0.000000e+00	1
4.173981e+01	9.761386e-01	1.710000e-03	2.024195e+05	6.220189e+03	3.000000e+00	1
4.394112e+01	1.028580e+00	1.780000e-03	1.984103e+05	6.102236e+03	3.000000e+00	1
4.623832e+01	1.083554e+00	1.860000e-03	1.944703e+05	5.986499e+03	3.300000e+00	1
4.863318e+01	1.141159e+00	1.940000e-03	1.905986e+05	5.872954e+03	3.200000e+00	1
5.112720e+01	1.201508e+00	2.020000e-03	1.867938e+05	5.761547e+03	2.800000e+00	1
5.372167e+01	1.264704e+00	2.100000e-03	1.830539e+05	5.652225e+03	2.700000e+00	1
5.641748e+01	1.330862e+00	2.180000e-03	1.793777e+05	5.544974e+03	2.900000e+00	1
5.921523e+01	1.400094e+00	2.270000e-03	1.757635e+05	5.439686e+03	3.100000e+00	1
6.211512e+01	1.472521e+00	2.340000e-03	1.722104e+05	5.336338e+03	2.800000e+00	1
6.511693e+01	1.548266e+00	2.420000e-03	1.687167e+05	5.234881e+03	2.600000e+00	1
6.822000e+01	1.627448e+00	2.500000e-03	1.652813e+05	5.135311e+03	2.800000e+00	1
7.142322e+01	1.710191e+00	2.580000e-03	1.619031e+05	5.037507e+03	2.600000e+00	1
7.472497e+01	1.796620e+00	2.660000e-03	1.585806e+05	4.941474e+03	2.600000e+00	1
7.812312e+01	1.886857e+00	2.730000e-03	1.553125e+05	4.847142e+03	2.600000e+00	1
8.161504e+01	1.981018e+00	2.810000e-03	1.520980e+05	4.754480e+03	2.600000e+00	1
8.519754e+01	2.079218e+00	2.880000e-03	1.489359e+05	4.663402e+03	2.600000e+00	1
8.886691e+01	2.181560e+00	2.950000e-03	1.458252e+05	4.573932e+03	2.600000e+00	1
9.261892e+01	2.288139e+00	3.010000e-03	1.427651e+05	4.485966e+03	2.300000e+00	1
9.644878e+01	2.399036e+00	3.070000e-03	1.397541e+05	4.399487e+03	2.400000e+00	1
1.003512e+02	2.514309e+00	3.100000e-03	1.367918e+05	4.314458e+03	2.300000e+00	1
