M [M_sun]	stat_err M	sys_err M	R [km]	stat_err R	sys_err R	stability
1.756014e+01	4.083686e-01	1.000000e-05	2.026106e+02	5.252982e+00	0.000000e+00	0
1.724289e+01	4.127794e-01	0.000000e+00	1.958789e+02	5.033568e+00	0.000000e+00	0
1.690521e+01	4.156063e-01	3.000000e-05	1.894950e+02	4.819129e+00	0.000000e+00	0
1.655096e+01	4.169170e-01	1.400000e-04	1.834530e+02	4.609843e+00	2.900000e-03	0
1.618387e+01	4.167996e-01	1.240000e-03	1.777472e+02	4.405826e+00	1.740000e-02	0
1.580763e+01	4.153831e-01	5.670000e-03	1.723746e+02	4.207350e+00	7.530000e-02	0
1.542499e+01	4.127052e-01	9.450000e-03	1.673208e+02	4.013426e+00	1.101000e-01	0
1.504076e+01	4.091732e-01	4.090000e-03	1.625973e+02	3.828213e+00	2.900000e-02	0
1.464388e+01	4.028069e-01	1.025000e-02	1.580390e+02	3.625558e+00	1.130000e-01	0
1.422689e+01	3.922132e-01	4.365000e-02	1.535822e+02	3.401684e+00	4.259000e-01	0
1.379869e+01	3.792755e-01	8.578000e-02	1.493484e+02	3.187787e+00	7.274000e-01	0
1.337013e+01	3.661603e-01	7.812000e-02	1.454595e+02	2.998613e+00	4.666000e-01	0
1.295398e+01	3.543763e-01	3.890000e-02	1.419995e+02	2.832228e+00	1.160000e-02	0
1.256531e+01	3.442277e-01	1.340000e-03	1.390321e+02	2.684393e+00	3.100000e-01	0
1.221315e+01	3.351724e-01	1.428000e-02	1.365197e+02	2.556457e+00	3.506000e-01	0
1.189161e+01	3.269427e-01	1.273000e-02	1.343232e+02	2.451226e+00	2.377000e-01	0
1.159158e+01	3.197185e-01	5.300000e-04	1.322976e+02	2.365486e+00	6.090000e-02	0
1.130031e+01	3.131622e-01	1.412000e-02	1.302981e+02	2.282598e+00	1.130000e-01	0
1.100115e+01	3.059436e-01	2.009000e-02	1.281653e+02	2.173596e+00	1.999000e-01	0
1.068821e+01	2.978422e-01	1.601000e-02	1.258383e+02	2.033531e+00	1.826000e-01	0
1.036260e+01	2.894008e-01	8.180000e-03	1.233520e+02	1.874812e+00	1.246000e-01	0
1.002567e+01	2.803792e-01	3.330000e-03	1.208106e+02	1.708018e+00	1.014000e-01	0
9.680139e+00	2.707912e-01	6.769000e-03	1.184344e+02	1.557612e+00	1.506000e-01	0
